Fecha;Hora;Token;ProyectoFinal;Tiempo;Registro;Observaciones
19/12/2025;09:35:22;c2b05593;Sin Proyecto Asignado;5;Estuve mucho con esto y con aquello.;
19/12/2025;09:35:22;c2b05593;Otros;0,5;Estuve mucho con esto y con aquello. y mas con aquello;
19/12/2025;09:38:27;c2b05593;Sin Proyecto Asignado;5;Estuve mucho con esto y con aquello.;
19/12/2025;09:38:27;c2b05593;Otros;0,5;Estuve mucho con esto y con aquello. y mas con aquello;
19/12/2025;12:52:54;37ce0ab2;Registros O.T;5;Estuve terminando la sección de Dashboard;
19/12/2025;12:52:54;37ce0ab2;Otros;0,5;Termine listado de piezas cuerpo de siembra para tomi.;
19/12/2025;13:05:32;37ce0ab2;Sistema de Costos;5;Estuve terminando el AG-2565-CHS;
19/12/2025;13:05:32;37ce0ab2;Otros;0,5;Termine listadOOO.;
05/01/2026;12:40:19;cd5108a3;Registros O.T;1;Hice unas pruebas de su funcionamiento.;
05/01/2026;12:48:49;cd5108a3;Registros O.T;0,5;Hice un ajuste del servidor;
05/01/2026;12:59:13;cd5108a3;Registros O.T;0,166667;Hice otra prueba;
05/01/2026;12:59:13;cd5108a3;Registros O.T;0,25;Hice otra prueba NUEVA;
05/01/2026;13:08:33;02e4bed5;Sin Proyecto Asignado;1;Otra prueba mas.;
05/01/2026;13:28:40;02e4bed5;Sin Proyecto Asignado;0,5;Prueba;
05/01/2026;13:30:36;02e4bed5;Sin Proyecto Asignado;1;Prueba;
05/01/2026;13:37:09;02e4bed5;Sin Proyecto Asignado;1;Prueba Final;
05/01/2026;13:42:48;67d74084;Sin Proyecto Asignado;1;Hola;
05/01/2026;13:42:48;67d74084;Registros O.T;1;Hola de nuevo;
05/01/2026;13:45:55;67d74084;Registros O.T;1;Hola de nuevo;
05/01/2026;13:49:02;67d74084;Sin Proyecto Asignado;1;Hola;
05/01/2026;13:49:02;67d74084;Registros O.T;1;Hola de nuevo;
05/01/2026;13:59:13;67d74084;Sin Proyecto Asignado;1;Hola;
05/01/2026;13:59:13;67d74084;Registros O.T;1;Hola de nuevoooo;
05/01/2026;14:02:20;67d74084;Registros O.T;1;Hola de nuevoooo;
05/01/2026;14:03:54;67d74084;Sin Proyecto Asignado;1;Holaaaaa;
05/01/2026;14:13:17;67d74084;Sin Proyecto Asignado;1;Holaaaaa de nuevoooo.;
